"id";"name"
1;"Gabriella Laatikainen"
2;"Arto Ojala"
3;"Wei Song"
4;"Xiaoxing Ma"
5;"S. C. Cheung"
6;"Wanchun Dou"
7;"Jian Lu"
8;"Ligang He"
9;"Stephen A. Jarvis"
10;"David A. Bacigalupo"
11;"Daniel P. Spooner"
12;"Xinuo Chen"
13;"Graham R. Nudd"
14;"Konstantin Hoesch-Klohe"
15;"Aditya Ghose"
16;"Lam-Son L"
17;"ê"
18;"Yan Wang"
19;"Liang-Jie Zhang"
20;"Wei Wang"
21;"Raheleh Dimaghani"
22;"Sahin Cem Geyik"
23;"Keith Grueneberg"
24;"Jorge Lobo"
25;"S. Yousaf Shah"
26;"Boleslaw K. Szymanski"
27;"Petros Zerfos"
28;"Jianli Luo"
29;"Jie Shen"
30;"Cui-hua Xie"
31;"Gideon Mbiydzenyuy"
32;"Sandeep Uttamchandani"
33;"Kaladhar Voruganti"
34;"Ramani Routray"
35;"Li Yin"
36;"Aameek Singh"
37;"Benji Yolken"
38;"Hans Albrecht Schmid"
39;"Christian Gerth"
40;"Markus Luckey"
41;"Jochen Malte K"
42;"üster"
43;"Gregor Engels"
44;"Natalia Razinkov"
45;"Nir Mashkif"
46;"David Amid"
47;"Amit Fisher"
48;"Jia Zhang"
49;"Bob Iannucci"
50;"Mark Hennessy"
51;"Kaushik Gopal"
52;"Sean Xiao"
53;"Sumeet Kumar"
54;"David Pfeffer"
55;"Basmah Aljedia"
56;"Yuan Ren"
57;"Martin L. Griss"
58;"Steven Rosenberg"
59;"Jordan Cao"
60;"Anthony Rowe"
61;"Haifeng Guo"
62;"Peter T. Galligan"
63;"Jim Mooney"
64;"Adrian Coronado"
65;"Dennis F. Kehoe"
66;"Zoran Milosevic"
67;"Maria E. Orlowska"
68;"Shazia Wasim Sadiq"
69;"Yanik Ngoko"
70;"Christophe C"
71;"érin"
72;"Alfredo Goldman"
73;"Rehab Alnemr"
74;"Justus Bross"
75;"Christoph Meinel"
76;"Chun Zhang"
77;"Rong N. Chang"
78;"Chang-Shing Perng"
79;"Edward So"
80;"Chunqiang Tang"
81;"Tao Tao"
82;"Anuradha Bhamidipaty"
83;"Rohit Lotlikar"
84;"Guruduth Banavar"
85;"Wei Tan"
86;"John Alexander"
87;"Ian T. Foster"
88;"Ravi K. Madduri"
89;"Huiyuan Zheng"
90;"Jian Yang"
91;"Weiliang Zhao"
92;"Vishal Kapoor"
93;"Duncan Russell"
94;"Peter M. Dew"
95;"Karim Djemame"
96;"Michael F. Nowlan"
97;"M. Brian Blake"
98;"Ahmed El-Hassany"
99;"Ezra Kissel"
100;"Dan Gunter"
101;"D. Martin Swany"
102;"Jiwei Huang"
103;"Chuang Lin"
104;"Jianxiong Wan"
105;"Dawn N. Jutla"
106;"D. Veerasekaran"
107;"R. Ding"
108;"Nuno Antunes"
109;"Marco Vieira"
110;"Hong Cai"
111;"Lianjun An"
112;"Jun-Jang Jeng"
113;"Cagdas E. Gerede"
114;"Michael Menzel"
115;"Weilong Ding"
116;"Jing Wang 0002"
117;"Yanbo Han"
118;"Yohei Murakami"
119;"Masahiro Tanaka"
120;"Donghui Lin"
121;"Toru Ishida"
122;"Rabeb Mizouni"
123;"Mohamed Adel Serhani"
124;"Abdelghani Benharref"
125;"Oubai Al-Abassi"
126;"Dragan Ivanovic"
127;"Manuel Carro"
128;"Manuel V. Hermenegildo"
129;"Ernando Silva"
130;"Karin Becker"
131;"Renata Galante"
132;"Peep K"
133;"üngas"
134;"Marlon Dumas"
135;"Gregory Katsaros"
136;"Roland K"
137;"übert"
138;"Georgina Gallizo"
139;"Jie Sun"
140;"Liping Zhao"
141;"Pericles Loucopoulos"
142;"Bo Zhou"
143;"Deepak Ramachandran"
144;"Neil Boyette"
145;"Isaac Cheng"
146;"Vikas Krishna"
147;"Savitha Srinivasan"
148;"Sangeetha Seshadri"
149;"Ling Liu"
150;"Brian F. Cooper"
151;"Lawrence Chiu"
152;"Karan Gupta"
153;"Paul Muench"
154;"Yazid Benazzouz"
155;"Nicolas Sabouret"
156;"Belkacem Chikhaoui"
157;"Frank E. Ferrante"
158;"Arnold W. Bragg"
159;"Karen Evans"
160;"Gil Miller"
161;"Henry Schaffer"
162;"George Strawn"
163;"Linda Wilbanks"
164;"Yathiraj B. Udupi"
165;"Munindar P. Singh"
166;"Yang Zhang"
167;"Junliang Chen"
168;"Min Yuan"
169;"Zhiqiu Huang"
170;"Jun Hu"
171;"Xiang Li"
172;"Yi Zhu"
173;"Chiung-Hon Leon Lee"
174;"Alan Liu"
175;"Zhongmou Li"
176;"Shu Tao"
177;"Hui Xiong"
178;"Guiling Wang"
179;"Sai Zhang"
180;"Chen Liu"
181;"Cl"
182;"ément Escoffier"
183;"Richard S. Hall"
184;"Philippe Lalanda"
185;"Fang Liu"
186;"Li Yao"
187;"Wei Ming Zhang"
188;"Hua Liu"
189;"Zhang Hua"
190;"Dana Glasner"
191;"Vugranam C. Sreedhar"
192;"M. N. Birje"
193;"Sunilkumar S. Manvi"
194;"Bhanu Prasad"
195;"Samuel Kounev"
196;"Fabian Brosig"
197;"Nikolaus Huber"
198;"Ralf H. Reussner"
199;"Changzhou Wang"
200;"Guijun Wang"
201;"Alice Chen"
202;"Haiqin Wang"
203;"Hyun Jung La"
204;"Soo Dong Kim"
205;"Janggwan Im"
206;"Seong Hoon Kim"
207;"Daeyoung Kim 0001"
208;"Jianpeng Hu"
209;"Linpeng Huang"
210;"Bei Cao"
211;"Xuling Chang"
212;"Sri Ramanathan"
213;"Ali Arsanjani"
214;"Abdul Allam"
215;"Sujatha Kuppuraju"
216;"Kanchana Rao"
217;"Hitesh A. Bosamiya"
218;"Raghu Anantharangachar"
219;"Subhojit Mallik"
220;"Hongbing Wang"
221;"Haixia Sun"
222;"Qi Yu"
223;"Teerayut Horanont"
224;"Jiranuwat Prapakornpilai"
225;"Santi Phithakkitnukoon"
226;"Apichon Witayangkurn"
227;"Ryosuke Shibasaki"
228;"Balachandra Reddy Kandukuri"
229;"Ramakrishna Paturi V."
230;"Atanu Rakshit"
231;"Robert Lagerstr"
232;"öm"
233;"Jonas Ohrstrom"
234;"Salah Bouktif"
235;"Jamal Bentahar"
236;"Guilherme M. B. Salles"
237;"Marcelo Fantinato"
238;"Jo"
239;"ão Porto de Albuquerque"
240;"Marislei Nishijima"
241;"David Frank"
242;"Linh Lam"
243;"Liana Fong"
244;"Ru Fang"
245;"Christopher Vignola"
246;"Armin Haller"
247;"Eyal Oren"
248;"Paavo Kotinurmi"
249;"Arnaud Simon"
250;"Thomas Rischbeck"
251;"Lie Qu"
252;"Yan Wang 0002"
253;"Mehmet A. Orgun"
254;"Naga Ayachitula"
255;"Melissa J. Buco"
256;"Yixin Diao"
257;"Maheswaran Surendra"
258;"Raju Pavuluri"
259;"Larisa Shwartz"
260;"Christopher Ward"
261;"Qiang Wu"
262;"Zongtian Liu"
263;"Yun Li"
264;"Robert J. Gaizauskas"
265;"Neil Davis"
266;"George Demetriou"
267;"Yikun Guo"
268;"Ian Roberts"
269;"Claudia-Melania Chituc"
270;"Cesar Toscano"
271;"Am"
272;"érico Lopes Azevedo"
273;"Shuo Chen"
274;"Chi-Hung Chi"
275;"Chen (Cherie) Ding"
276;"Raymond K. Wong"
277;"Anuradha Gasikanti"
278;"Johnson P. Thomas"
279;"Mathews Thomas"
280;"Faisal Alrebeish"
281;"Rami Bahsoon"
282;"Hamid R. Motahari Nezhad"
283;"Daniel B. Greenia"
284;"Taiga Nakamura"
285;"Rama Akkiraju"
286;"Colombe Herault"
287;"Ga"
288;"ël Thomas 0001"
289;"Zhiwei Yu"
290;"Victor W. Chu"
291;"HongQing Yu"
292;"Stephan Reiff-Marganiec"
293;"Asad Masood Khattak"
294;"Zeeshan Pervez"
295;"Khalid Latif"
296;"A. M. Jehad Sarkar"
297;"Sungyoung Lee"
298;"Young-Koo Lee"
299;"Haibo Mi"
300;"Huaimin Wang"
301;"Gang Yin"
302;"Yangfan Zhou"
303;"Dian-xi Shi"
304;"Lin Yuan"
305;"Zhaohui Wu"
306;"ShuiGuang Deng"
307;"Ying Li"
308;"Vijay K. Naik"
309;"Pawel Garbacki"
310;"Ajay Mohindra"
311;"Christine Legner"
312;"Tobias Vogel 0001"
313;"Lin Liu 0001"
314;"Choon-Keng Chua"
315;"Tanveer Ahmed"
316;"Abhinav Tripathi"
317;"Abhishek Srivastava"
318;"Dhrubajyoti Saha"
319;"Abhishek Samanta"
320;"Smruti R. Sarangi"
321;"Guangwen Yang"
322;"Qing Wang"
323;"Yongwei Wu"
324;"Dazheng Huang"
325;"Tony Chao Shan"
326;"Winnie W. Hua"
327;"Yujie Mou"
328;"Jian Cao"
329;"Shen-sheng Zhang"
330;"Shangguang Wang"
331;"Zibin Zheng"
332;"Guoqiang Li 0006"
333;"Hua Zou"
334;"Fangchun Yang"
335;"Mahdi Sharifi"
336;"Azizah Abdul Manaf"
337;"Ali Memariani"
338;"Homa Movahednejad"
339;"Amir Vahid Dastjerdi"
340;"Antonin Chazalet"
341;"Ken Christensen"
342;"Wayne Clark"
343;"Simon Liu"
344;"Joseph Williams"
345;"Hui Lei"
346;"Dipanjan Chakraborty 0001"
347;"Henry Chang"
348;"Michael J. Dikun"
349;"Terry Heath"
350;"Jenny S. Li"
351;"Nitin Nayak"
352;"Yasodhar Patnaik"
353;"Hai Jin"
354;"Li Deng"
355;"Song Wu"
356;"Xuanhua Shi"
357;"Yaxing Wei"
358;"Peng Yue"
359;"Upendra Dadi"
360;"Min Min"
361;"Chengfang Hu"
362;"Liping Di"
363;"Dong Ruan"
364;"Shiyong Lu"
365;"Ji Hu"
366;"Xiaoyi Fan"
367;"Robin Fischer"
368;"Xian Xu 0001"
369;"Ruonan Rao"
370;"Zhaoqing Jia"
371;"Jinyuan You"
372;"Alexander Gromoff"
373;"Nikolay Kazantsev"
374;"Leonid Shumsky"
375;"Nikita Konovalov"
376;"Fenglian Xu"
377;"M. Hakki Eres"
378;"David J. Baker"
379;"Simon J. Cox"
380;"Mark Yampolskiy"
381;"Wolfgang Hommel"
382;"Patricia Marcu"
383;"Matthias K. Hamm"
384;"Marco Anisetti"
385;"Claudio Agostino Ardagna"
386;"Piero A. Bonatti"
387;"Ernesto Damiani"
388;"Marco Faella"
389;"Clemente Galdi"
390;"Luigi Sauro"
391;"Malik Khalfallah"
