publicationId,authorId
1,1
1,2
2,3
2,4
2,5
2,6
2,7
3,8
3,9
3,10
3,11
3,12
3,13
4,14
4,15
4,16
4,17
5,18
5,19
5,20
6,21
6,22
6,23
6,24
6,25
6,26
6,27
7,28
7,29
7,30
8,31
9,32
9,33
9,34
9,35
9,36
9,37
10,38
11,39
11,40
11,41
11,42
11,43
12,44
12,45
12,46
12,47
13,48
13,49
13,50
13,51
13,52
13,53
13,54
13,55
13,56
13,57
13,58
13,59
13,60
14,61
14,62
14,63
14,64
14,65
15,66
15,67
15,68
16,69
16,70
16,71
16,72
17,73
17,74
17,75
18,76
18,77
18,78
18,79
18,80
18,81
19,82
19,83
19,84
20,48
20,85
20,86
20,87
20,88
21,89
21,90
21,91
22,92
23,93
23,94
23,95
24,96
24,97
25,98
25,99
25,100
25,101
26,102
26,103
26,104
27,105
27,106
27,107
28,108
28,109
29,110
29,48
30,111
30,112
30,113
31,114
31,75
32,115
32,116
32,117
33,118
33,119
33,120
33,121
34,122
34,123
34,124
34,125
35,126
35,127
35,128
36,129
36,130
36,131
37,132
37,133
37,134
38,135
38,136
38,137
38,138
39,139
39,140
39,141
39,142
40,143
40,144
40,145
40,146
40,147
41,148
41,149
41,150
41,151
41,152
41,153
42,154
42,155
42,156
43,157
43,158
43,159
43,160
43,161
43,162
43,163
44,164
44,165
45,166
45,167
46,168
46,169
46,170
46,171
46,172
47,173
47,174
48,175
48,176
48,177
49,178
49,179
49,180
49,117
50,181
50,182
50,183
50,184
51,185
51,186
51,187
51,188
51,189
52,190
52,191
53,192
53,193
53,194
54,195
54,196
54,197
54,198
55,199
55,200
55,201
55,202
56,203
56,204
57,205
57,206
57,207
58,208
58,209
58,210
58,211
59,212
59,213
59,214
60,215
60,216
60,217
60,218
60,219
61,220
61,221
61,222
62,223
62,224
62,225
62,226
62,227
63,228
63,229
63,230
64,231
64,232
64,233
65,124
65,123
65,234
65,235
66,236
66,237
66,238
66,239
66,240
67,241
67,242
67,243
67,244
67,245
68,246
68,247
68,248
69,249
69,250
70,251
70,252
70,253
71,254
71,255
71,256
71,257
71,258
71,259
71,260
72,261
72,262
72,263
73,264
73,265
73,266
73,267
73,268
74,269
74,270
74,271
74,272
75,273
75,274
75,275
75,276
76,277
76,278
76,279
77,280
77,281
78,282
78,283
78,284
78,285
79,286
79,287
79,288
79,184
80,289
80,290
80,276
81,291
81,292
82,293
82,294
82,295
82,296
82,297
82,298
83,299
83,300
83,301
83,302
83,303
83,304
84,305
84,306
84,307
85,308
85,309
85,310
86,311
86,312
87,274
87,313
87,314
88,315
88,316
88,317
89,318
89,319
89,320
90,321
90,322
90,323
90,324
91,325
91,326
92,327
92,328
92,329
93,330
93,331
93,332
93,333
93,334
94,335
94,336
94,337
94,338
94,339
95,340
95,184
96,157
96,158
96,341
96,342
96,343
96,344
96,19
97,345
97,346
97,347
97,348
97,349
97,350
97,351
97,352
98,353
98,354
98,355
98,356
99,357
99,358
99,359
99,360
99,361
99,362
100,363
100,364
101,365
101,366
101,367
102,368
102,369
102,370
102,371
103,372
103,373
103,374
103,375
104,376
104,377
104,378
104,379
105,380
105,381
105,382
105,383
106,384
106,385
106,386
106,387
106,388
106,389
106,390
107,391
107,392
107,393
107,394
107,395
108,396
108,397
108,398
109,399
110,400
110,401
110,402
111,403
111,404
112,405
112,274
112,406
113,407
113,307
113,306
113,408
113,409
114,410
114,411
114,412
114,413
114,414
115,415
115,416
115,417
116,418
116,419
116,420
116,421
117,22
117,26
117,27
117,422
118,423
118,424
118,425
118,426
119,427
119,428
119,429
120,430
120,431
120,432
120,433
121,434
121,435
121,436
121,437
121,438
122,439
122,440
122,441
122,442
123,443
123,444
123,445
123,446
123,447
124,448
124,449
124,450
124,451
125,452
125,213
125,212
126,453
126,454
126,455
126,456
126,457
126,458
126,459
126,460
126,461
127,462
127,463
127,333
127,334
127,464
128,465
128,466
128,467
129,468
129,469
130,470
130,364
130,48
131,471
131,472
131,473
131,474
132,475
132,476
132,477
132,379
133,478
133,204
134,479
134,480
135,481
135,482
135,483
136,484
136,485
136,486
137,487
137,488
137,489
137,490
138,491
138,492
138,493
138,494
139,495
139,496
139,367
140,497
140,498
140,409
140,331
141,499
141,500
141,501
141,502
142,503
142,504
143,452
143,505
143,506
144,19
144,48
145,507
145,508
146,509
146,209
146,510
147,511
147,512
148,325
148,326
149,513
149,514
149,515
149,516
149,517
150,518
150,519
150,520
150,521
150,19
151,522
151,523
151,524
151,371
152,499
152,500
153,317
153,525
154,526
154,527
154,328
154,528
155,529
155,530
155,531
155,532
155,533
155,534
156,399
157,535
157,149
157,536
157,537
157,538
158,539
158,540
159,541
159,542
159,543
159,544
159,545
159,546
160,547
160,548
160,549
160,550
161,551
162,307
162,552
162,553
162,554
163,555
163,556
164,557
164,558
164,559
165,560
165,252
165,561
166,562
166,563
166,564
167,565
167,566
168,567
168,568
168,569
168,570
169,571
169,572
169,573
169,574
170,575
170,576
171,577
171,527
171,578
172,579
172,580
172,581
173,582
173,583
174,306
174,409
174,307
174,305
175,584
175,585
175,586
175,587
176,588
176,589
176,590
177,591
177,592
177,593
177,594
178,595
178,596
178,559
178,597
178,598
179,599
179,600
179,601
179,602
179,603
179,604
179,605
179,606
180,328
180,329
180,527
180,607
181,608
181,609
181,610
181,611
181,612
182,613
182,614
182,615
182,616
183,617
183,618
183,619
184,620
184,238
184,621
184,622
185,19
186,623
186,624
187,625
187,275
187,274
188,626
188,627
188,628
188,629
188,630
189,631
190,399
191,632
191,633
192,634
192,635
192,636
192,637
192,638
193,639
193,640
194,641
194,642
194,643
195,644
195,645
195,646
195,647
196,648
196,206
196,207
197,649
197,364
197,650
197,651
198,652
198,340
198,653
198,181
198,182
198,654
199,655
199,90
200,656
200,657
200,658
201,659
201,660
201,661
202,307
202,662
203,463
203,663
203,464
203,333
204,664
204,665
204,666
204,667
205,668
205,78
205,669
205,77
206,670
206,19
206,671
207,672
207,673
207,674
207,675
207,676
208,415
209,677
209,678
209,679
209,680
210,681
210,682
210,683
210,684
210,685
211,686
211,687
211,688
211,689
211,690
212,691
212,252
212,253
212,692
213,693
213,694
213,695
213,696
214,697
214,698
214,484
215,699
215,700
215,701
216,702
216,703
216,704
216,705
217,706
217,707
217,708
218,709
218,710
219,711
219,712
219,713
219,714
220,715
221,716
221,209
221,526
221,527
222,8
222,717
222,718
222,719
222,720
222,721
222,9
223,722
223,723
223,419
223,177
224,724
224,276
225,725
225,650
225,726
225,727
225,728
226,729
226,663
226,730
226,167
227,731
227,732
228,733
229,734
229,735
229,736
230,119
230,118
230,737
231,738
231,739
231,740
231,741
231,742
231,680
231,743
232,744
232,745
233,746
233,747
234,748
234,529
234,749
235,750
235,751
236,752
236,753
236,754
237,755
237,756
238,757
238,758
238,759
238,760
238,761
238,762
238,763
238,764
239,765
239,766
239,767
239,768
239,769
240,521
240,520
240,770
240,771
240,19
241,772
241,773
241,774
241,775
241,776
241,777
242,778
242,779
243,424
243,780
244,781
244,782
244,783
244,784
244,785
245,786
245,421
245,787
246,727
246,650
247,788
247,330
247,789
247,333
247,334
248,790
248,791
249,792
249,793
249,794
249,795
249,796
250,797
250,798
251,799
251,800
252,305
252,801
252,802
253,803
253,804
253,805
253,17
253,806
253,807
253,808
254,809
254,810
254,90
255,16
255,17
255,811
255,15
255,743
256,812
256,813
256,814
257,815
257,305
257,816
257,817
258,818
258,819
258,417
258,820
259,821
259,822
259,823
260,824
260,825
260,140
261,826
261,307
261,553
261,827
262,828
262,829
262,830
262,831
263,832
263,833
263,834
263,835
263,411
263,836
264,837
264,838
264,839
264,840
265,841
265,842
265,843
265,844
266,845
266,846
266,847
267,848
267,849
267,330
267,850
268,120
268,118
268,119
269,851
269,409
269,852
269,853
269,306
270,854
270,855
270,856
270,857
270,858
271,859
271,860
272,861
272,862
273,863
273,864
273,865
273,866
273,867
273,868
274,869
274,870
274,572
274,871
275,698
275,486
275,872
276,873
276,874
277,875
277,876
277,547
277,877
278,653
278,878
278,184
279,879
279,880
279,881
280,882
280,883
280,884
281,885
281,886
281,887
282,888
282,889
282,890
282,891
282,892
283,489
283,893
283,894
283,895
283,527
283,490
283,487
283,896
284,897
284,29
284,898
285,899
285,900
285,748
285,901
285,902
285,529
285,749
286,876
286,903
286,904
286,905
286,165
287,330
287,331
287,789
287,333
287,334
288,906
288,800
288,907
289,908
289,909
289,910
289,911
289,912
290,913
290,914
290,915
290,916
291,917
291,918
291,743
292,919
292,547
293,486
293,920
293,921
293,922
294,923
294,924
294,674
295,925
295,15
295,926
295,927
296,928
296,929
296,930
296,931
297,932
297,933
298,934
298,935
298,936
298,937
299,938
299,939
299,940
299,941
299,419
299,942
300,943
300,944
300,945
300,946
300,572
301,947
301,948
301,949
301,950
301,951
301,689
302,952
302,622
303,953
303,954
303,955
304,956
304,957
304,958
305,399
306,959
306,960
306,961
307,962
307,963
308,964
308,209
308,965
309,966
309,967
309,968
309,969
309,970
310,971
310,972
311,973
311,974
312,975
312,884
312,976
313,977
313,978
313,109
314,979
314,980
314,48
314,981
315,982
315,983
315,984
316,424
316,985
317,218
317,986
317,987
318,988
318,989
318,990
319,991
319,992
319,993
319,994
319,995
319,996
320,997
320,998
321,999
321,1000
321,1001
321,1002
321,1003
321,1004
321,1005
322,1006
322,1007
323,1008
323,1009
323,1010
324,1011
324,1012
324,1013
324,1014
325,1015
325,1016
325,1017
325,1018
325,1019
325,1020
326,1021
326,1022
326,1023
327,417
327,1024
327,415
328,1025
328,424
328,695
328,696
328,1026
328,1027
329,1028
329,1029
330,1030
330,1031
331,1032
331,307
331,552
332,885
332,1033
333,1034
333,1035
334,1036
334,1037
334,1038
334,407
335,1039
335,1040
335,1041
336,1042
336,292
337,22
337,26
337,27
337,1043
338,1044
338,1045
338,1046
338,622
339,399
340,462
340,333
340,334
340,463
341,1047
342,642
342,643
342,1048
342,1049
343,1050
343,713
343,1051
344,399
345,3
345,4
345,5
345,1052
345,7
346,1053
346,1054
346,1055
347,1056
347,1057
347,1058
347,1059
348,1060
349,1061
349,1062
349,1063
349,1064
350,1065
351,1066
351,1067
352,1068
352,1069
353,1070
353,1071
353,1072
353,1073
354,1074
354,1075
354,1076
355,1077
355,1078
355,1079
356,1080
356,663
356,167
357,826
357,1081
357,1082
357,1083
358,619
358,1084
358,1085
359,1081
359,1086
359,310
360,327
360,328
360,329
361,1087
362,1088
362,1089
362,1090
362,1091
363,119
363,118
363,120
363,121
364,1092
365,1093
366,698
366,1094
367,19
367,110
367,1095
367,347
368,1096
368,970
368,967
369,1097
369,1098
369,689
370,1099
370,1100
370,1101
370,633
371,732
371,1102
371,1103
372,1104
372,1105
372,978
372,109
373,750
373,751
374,1106
374,1107
374,1108
374,1109
374,1110
375,1111
375,1112
375,1113
375,1114
376,1115
376,1116
377,399
378,1117
378,572
378,945
378,1118
379,1119
379,1120
379,1121
380,1122
380,1123
381,1124
381,220
382,1125
382,1126
383,1127
383,1128
383,1129
383,1130
384,385
384,387
384,1131
385,876
385,82
385,1132
385,1133
385,1134
385,1135
386,351
386,1136
386,1137
386,1138
386,1139
387,1140
387,1141
387,1142
388,1143
388,1144
389,1145
389,1146
389,1147
389,1148
390,1149
390,1150
390,1151
390,1152
391,213
391,214
392,122
392,123
392,1153
392,124
392,1154
393,1155
393,1156
394,573
394,572
394,1157
394,1158
395,1159
395,1160
395,1161
396,1162
396,1050
396,713
397,684
397,682
397,1163
397,681
398,1164
398,1165
398,1140
399,1166
399,1167
399,1168
399,3
399,404
400,145
400,144
400,146
401,129
401,1169
401,130
401,131
402,1170
402,29
402,1171
402,1172
403,558
403,559
403,1173
403,1174
403,1175
404,1176
404,732
404,731
405,1177
405,393
405,1178
405,1179
406,1180
406,1181
406,19
407,1182
408,1183
408,1184
409,412
409,1185
409,1186
409,1187
409,1188
409,1189
410,1190
410,333
410,1191
410,334
410,463
411,1192
412,1193
412,1194
412,1195
413,1196
413,70
413,71
413,1197
414,885
414,1198
415,1199
416,1200
416,1201
417,299
417,300
417,301
417,1202
417,1203
417,1204
417,302
418,1205
418,364
418,1206
419,1207
419,1208
419,1209
419,1210
419,1211
420,256
421,1212
421,278
421,279
421,1213
422,1214
422,852
422,306
422,307
422,305
423,1077
423,1079
424,1215
424,1216
424,1217
424,1218
425,1219
425,1220
425,1221
425,17
425,1222
425,1223
425,1224
425,1225
425,1226
425,1227
426,1228
426,1229
426,1230
426,1231
426,1232
426,1233
427,1234
427,1035
427,1235
428,1236
428,1237
428,1238
428,1239
429,631
430,1240
430,1241
430,1242
430,60
430,1243
430,1244
430,1245
430,1246
431,48
431,1247
431,1248
431,1249
431,1250
431,1251
431,1252
431,1253
432,1254
432,1255
432,1256
432,1257
432,1258
432,1259
432,1260
432,954
433,1261
433,1262
433,1263
433,1264
433,1265
434,1266
434,1267
434,1268
434,1269
435,1270
435,1271
435,1272
436,420
436,419
436,421
436,1273
437,1274
437,1275
437,1276
437,885
437,349
437,1277
437,1278
438,1279
438,697
438,1280
