"id";"title";"pages";"year";"date";"url";"conference_name";"count"
1;"SaaS Architecture and Pricing Models.";"597-604";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.84";"IEEE SCC";0
2;"A Public-View Approach to Timed Properties Verification for B2B Web Service Compositions.";"427-434";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.18";"IEEE SCC";0
3;"Queueing Network-based Optimisation Techniques for Workload Allocation in Clusters of Computers.";"207-216";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358008";"IEEE SCC";0
4;"Towards Green Business Process Management.";"386-393";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.21";"IEEE SCC";0
5;"A Human-Asset-Compromised Allocation Model of Multiple Emergency Projects in Service-Focused Enterprises.";"360-367";2012;"2012-10-08";"http://dx.doi.org/10.1109/SCC.2012.89";"IEEE SCC";0
6;"Policy-Aware Service Composition in Sensor Networks.";"186-193";2012;"2012-10-08";"http://dx.doi.org/10.1109/SCC.2012.90";"IEEE SCC";0
7;"Segmenting the Web Document with Document Object Model.";"449-452";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358040";"IEEE SCC";0
8;"Strategic Service Selection Problem for Transport Telematic Services - An Optimization Approach.";"520-527";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.75";"IEEE SCC";0
9;"BRAHMA: Planning Tool for Providing Storage Management as a Service.";"1-10";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.31";"IEEE SCC";0
10;"Performance Problems of Large Operational Systems Based on Web Services and a Solution.";"73-81";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1357992";"IEEE SCC";0
11;"Detection of Semantically Equivalent Fragments for Business Process Model Change Management.";"57-64";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.38";"IEEE SCC";0
12;"A Holistic View of Industry Standards Across SOA Solution Stack.";"144-151";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.42";"IEEE SCC";0
13;"Sensor Data as a Service - A Federated Platform for Mobile Data-centric Service Development and Sharing.";"446-453";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.34";"IEEE SCC";0
14;"The Application of Utility Computing and Web-Services to Inventory Optimisation.";"185-191";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.96";"IEEE SCC";0
15;"Linking contracts, processes and services: an event-driven approach.";"390-397";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.64";"IEEE SCC";0
16;"A Multithreaded Resolution of the Service Selection Problem Based on Domain Decomposition and Work Stealing.";"424-431";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.63";"IEEE SCC";0
17;"Constructing a Context-Aware Service-Oriented Reputation Model Using Attention Allocation Points.";"451-457";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.55";"IEEE SCC";0
18;"An Optimal Capacity Planning Algorithm for Provisioning Cluster-Based Failure-Resilient Composite Services.";"112-119";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.81";"IEEE SCC";0
19;"RMI: A Framework for Modeling and Evaluating the Resiliency Maturity of IT Service Organizations.";"300-307";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.94";"IEEE SCC";0
20;"Recommend-As-You-Go: A Novel Approach Supporting Services-Oriented Scientific Workflow Reuse.";"48-55";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.120";"IEEE SCC";0
21;"QoS Analysis and Service Selection for Composite Services.";"122-129";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.16";"IEEE SCC";0
22;"Services and Autonomic Computing: A Practical Approach for Designing Manageability.";"41-48";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.88";"IEEE SCC";0
23;"Service-based Collaborative Workflow for DAME.";"139-146";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.84";"IEEE SCC";0
24;"Agent-Mediated Knowledge Sharing for Services Management.";"324-331";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.23";"IEEE SCC";0
25;"Design and Implementation of a Unified Network Information Service.";"224-231";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.81";"IEEE SCC";0
26;"Modeling, Analysis and Optimization of Dependability-Aware Energy Efficiency in Services Computing Systems.";"683-690";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.63";"IEEE SCC";0
27;"Trade-Offs in a Google Distance and a WordNet Hybrid for QoS-Enabled Web Services Composition.";"312-319";2012;"2012-10-08";"http://dx.doi.org/10.1109/SCC.2012.77";"IEEE SCC";0
28;"Enhancing Penetration Testing with Attack Signatures and Interface Monitoring for the Detection of Injection Vulnerabilities in Web Services.";"104-111";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.67";"IEEE SCC";0
29;"SOA Services and Solutions.";"not available";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.96";"IEEE SCC";0
30;"On Exploiting System Dynamics Modeling to Identify Service Requirements.";"277-280";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.76";"IEEE SCC";0
31;"A Security Meta-model for Service-Oriented Architectures.";"251-259";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.57";"IEEE SCC";0
32;"ViPen: A Model Supporting Knowledge Provenance for Exploratory Service Composition.";"265-272";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.44";"IEEE SCC";0
33;"Service Grid Federation Architecture for Heterogeneous Domains.";"539-546";2012;"2012-10-08";"http://dx.doi.org/10.1109/SCC.2012.101";"IEEE SCC";0
